,Time,latitude,longitude,Depth,Total Log,Heading,STW,COG,SOG,TWD,TWA,TWS,AWA,AWS,AWS (max),Water Temperature,date,speed_delta,distance,log_entry,data,havens,vertrekhaven,tussenstop,aankomsthaven
486,2025-05-10 16:59:00,52.4945733,5.117245,2.76,,356.0,4.7,322.0,5.3,1.4,5.4,9.3,3.5,14.6,,,2025-05-10,-0.7000000000000002,0.15683011810820555,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
487,2025-05-10 17:04:00,52.5003016,5.1109683,2.84,,6.7,4.4,330.9,4.6,2.4,-4.3,10.2,-3.0,14.8,,,2025-05-10,0.6000000000000005,0.4137837851737668,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
488,2025-05-10 17:09:00,52.5059183,5.1049716,2.98,,353.2,5.3,313.1,5.2,17.7,24.5,8.9,15.5,13.8,,,2025-05-10,-0.2999999999999998,0.40253365549758363,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
489,2025-05-10 17:14:00,52.5117266,5.0997083,2.67,,5.9,4.5,329.3,4.9,11.1,5.2,10.0,3.5,14.9,,,2025-05-10,0.0,0.39859611866249395,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
490,2025-05-10 17:19:00,52.5175033,5.0944783,2.68,,8.4,5.1,328.5,4.9,23.1,14.7,8.9,9.5,13.7,,,2025-05-10,0.0,0.3963330208925146,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
491,2025-05-10 17:24:00,52.5238016,5.0894866,2.55,,5.8,4.5,334.2,4.9,21.2,15.4,10.4,10.5,15.2,,,2025-05-10,0.1999999999999993,0.42018630488408654,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
492,2025-05-10 17:29:00,52.529925,5.0847366,2.58,,1.9,5.1,331.2,5.1,24.9,23.0,10.5,15.5,15.3,,,2025-05-10,0.0,0.40688443402654695,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
493,2025-05-10 17:34:00,52.5362266,5.080255,2.52,,6.7,5.3,335.8,5.1,6.0,-0.7,11.4,-0.5,16.5,,,2025-05-10,0.40000000000000036,0.412590486910583,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
494,2025-05-10 17:39:00,52.542825,5.07522,2.64,,8.8,4.9,341.0,5.5,8.1,-0.7,10.5,-0.5,16.0,,,2025-05-10,-0.5,0.4371310446041378,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
495,2025-05-10 17:44:00,52.5493433,5.0712883,2.62,,14.2,4.9,344.6,5.0,20.2,6.0,9.7,4.0,14.7,,,2025-05-10,-1.0,0.41721512492161034,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
496,2025-05-10 17:49:00,52.55592,5.068265,2.75,,16.0,4.5,346.2,4.0,22.8,6.8,10.8,5.0,14.8,,,2025-05-10,0.5,0.41035273922856186,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
497,2025-05-10 17:54:00,52.561015,5.0662233,2.94,,19.8,4.5,347.7,4.5,8.6,-11.2,11.0,-8.0,15.4,,,2025-05-10,0.09999999999999964,0.3151219600632943,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
498,2025-05-10 17:59:00,52.5675266,5.06365,2.93,,16.6,4.4,344.6,4.6,22.5,5.9,9.7,4.0,14.4,,,2025-05-10,0.8000000000000007,0.4024248509894731,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
499,2025-05-10 18:04:00,52.5744633,5.0614433,2.81,,20.6,4.7,357.3,5.4,29.8,9.2,9.9,6.0,15.3,,,2025-05-10,-0.5,0.4245577784716584,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
500,2025-05-10 18:09:00,52.58117,5.0599916,2.81,,21.1,4.7,352.5,4.9,25.4,4.3,10.8,3.0,15.7,,,2025-05-10,-0.10000000000000053,0.4064884143047539,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
501,2025-05-10 18:14:00,52.5878466,5.0582,2.81,,18.8,4.5,349.4,4.8,32.0,13.2,8.7,8.5,13.4,,,2025-05-10,-0.2999999999999998,0.40650570656007984,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
502,2025-05-10 18:19:00,52.5944116,5.0566016,2.9,,18.0,4.4,352.1,4.5,22.4,4.4,9.5,3.0,14.0,,,2025-05-10,0.0,0.39879387747724715,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
503,2025-05-10 18:24:00,52.6008066,5.0552783,2.98,,20.6,4.4,351.4,4.5,30.4,9.8,8.6,6.5,13.1,,,2025-05-10,0.20000000000000018,0.38730988698826596,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
504,2025-05-10 18:29:00,52.6069816,5.0545333,2.8,,21.8,4.4,354.5,4.7,26.5,4.7,8.2,3.0,12.9,,,2025-05-10,0.0,0.3720609167531402,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
505,2025-05-10 18:34:00,52.61341,5.0533683,2.97,,26.9,4.2,3.6,4.7,22.6,-4.3,10.7,-3.0,15.4,,,2025-05-10,0.39999999999999947,0.38862544187714615,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
506,2025-05-10 18:39:00,52.6197333,5.05313,2.97,,14.2,4.7,345.9,5.1,20.7,6.5,11.4,4.5,16.5,,,2025-05-10,-0.6999999999999993,0.3800772120797303,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
507,2025-05-10 18:44:00,52.6238966,5.0545833,3.8,,81.0,4.0,114.3,4.4,344.3,-96.7,15.6,-80.5,15.7,,,2025-05-10,0.5,0.25573548240277555,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
508,2025-05-10 18:49:00,52.6212666,5.0650083,3.34,,76.3,4.2,106.1,4.9,336.9,-99.4,16.8,-82.5,16.7,,,2025-05-10,-0.40000000000000036,0.4118295045488843,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
509,2025-05-10 18:54:00,52.6229716,5.0695033,3.15,,25.7,4.4,358.1,4.5,16.7,-9.0,11.3,-6.5,15.8,,,2025-05-10,1.5,0.19335373390720736,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
510,2025-05-10 18:59:00,52.62968,5.0676016,3.21,,12.5,5.4,342.4,6.0,41.9,29.4,9.3,18.0,14.8,,,2025-05-10,-5.5,0.40904371451753796,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
511,2025-05-10 19:04:00,52.634645,5.0651216,2.36,,62.8,0.0,53.0,0.5,60.7,,,-2.0,7.4,,,2025-05-10,2.7,0.31176415574947075,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
512,2025-05-10 19:09:00,52.63795,5.0652183,3.12,,70.4,2.8,59.2,3.2,13.2,-57.2,7.5,-41.0,9.6,,,2025-05-10,-3.2,0.1986343286347064,2025-05-10 - Hoorn - Marken - Hoorn.md,2025-05-10,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
513,2025-05-16 12:46:00,52.63796,5.0664633,2.58,,64.6,0.0,,0.0,211.6,,,147.0,6.5,,,2025-05-16,0.5,0.04540490230558054,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
514,2025-05-16 13:25:00,52.6379417,5.0662917,2.93,,56.5,0.0,,0.5,295.5,,,-121.0,4.0,,,2025-05-16,2.5,0.006353560387139163,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
515,2025-05-16 13:30:00,52.6358517,5.0650633,2.1,,347.3,2.5,355.3,3.0,235.2,-112.1,7.5,-92.5,7.0,,,2025-05-16,-0.5,0.13334165555674699,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
516,2025-05-16 13:35:00,52.63323,5.064285,4.04,,155.1,2.1,165.4,2.5,291.6,136.5,7.7,123.5,6.4,,,2025-05-16,2.5,0.16007892076267866,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
517,2025-05-16 13:40:00,52.6301267,5.07081,3.58,,97.6,4.4,114.2,5.0,281.5,-176.1,14.2,-174.5,9.9,,,2025-05-16,-1.4,0.3023402369295094,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
518,2025-05-16 13:45:00,52.6279483,5.0808667,3.33,,93.1,3.1,108.7,3.6,263.7,170.6,10.7,167.0,7.7,,,2025-05-16,1.9999999999999996,0.3894666183972456,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
519,2025-05-16 13:50:00,52.6261617,5.0896833,3.32,,96.5,4.7,112.3,5.6,287.1,-169.4,15.6,-165.0,11.0,,,2025-05-16,-3.1999999999999997,0.3390387578927031,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
520,2025-05-16 13:55:00,52.6244417,5.09786,3.47,,95.0,2.0,112.8,2.4,282.1,-172.9,5.2,-168.5,3.2,,,2025-05-16,2.1999999999999997,0.3156635529656455,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
521,2025-05-16 14:00:00,52.6223733,5.10767,3.32,,92.0,3.8,109.1,4.6,268.0,176.0,13.6,174.5,9.8,,,2025-05-16,1.3000000000000007,0.3788272547880867,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
522,2025-05-16 14:05:00,52.6207683,5.116305,3.4,,91.3,5.3,107.7,5.9,287.6,-163.7,18.4,-157.5,13.4,,,2025-05-16,-0.20000000000000018,0.3294412097078506,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
523,2025-05-16 14:10:00,52.6189983,5.1274967,3.99,,86.6,5.1,104.6,5.7,301.6,-145.0,17.2,-132.5,13.4,,,2025-05-16,-0.6000000000000005,0.4219184916435776,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
524,2025-05-16 14:15:00,52.6174733,5.1396117,3.87,,90.3,4.7,105.8,5.1,273.2,-177.1,13.1,-175.5,8.4,,,2025-05-16,-0.8999999999999995,0.45139211367718796,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
525,2025-05-16 14:20:00,52.6160867,5.149725,3.66,,80.0,3.8,94.0,4.2,263.3,-176.7,10.6,-175.0,6.8,,,2025-05-16,0.7999999999999998,0.37826736522202936,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
526,2025-05-16 14:25:00,52.6153833,5.1614417,3.88,,83.9,4.5,98.8,5.0,282.5,-161.4,14.7,-153.5,10.5,,,2025-05-16,0.7999999999999998,0.4295698950127295,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
527,2025-05-16 14:30:00,52.6147867,5.17321,3.98,,77.8,4.9,92.4,5.8,292.7,-145.1,18.2,-134.0,14.5,,,2025-05-16,-1.7999999999999998,0.4308683741757467,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
528,2025-05-16 14:35:00,52.6140733,5.18435,4.22,,81.8,3.6,93.8,4.0,294.1,-147.7,11.2,-134.5,8.4,,,2025-05-16,1.7000000000000002,0.4087109173212442,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
529,2025-05-16 14:40:00,52.6134733,5.1965216,4.07,,80.5,4.9,96.8,5.7,299.7,-140.8,15.0,-125.5,11.7,,,2025-05-16,0.7000000000000002,0.4455634497776258,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
530,2025-05-16 14:45:00,52.6129066,5.2095033,3.9,,74.9,5.6,90.5,6.4,291.1,-143.8,17.9,-130.0,13.8,,,2025-05-16,-1.7000000000000002,0.47488906991030266,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
531,2025-05-16 14:50:00,52.6123567,5.2223317,3.76,,82.1,4.0,97.8,4.7,273.9,-168.2,12.8,-163.0,9.0,,,2025-05-16,0.7000000000000002,0.46924392609132975,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
532,2025-05-16 14:55:00,52.6105467,5.2320033,3.88,,90.1,4.0,107.0,5.4,285.7,-164.4,11.5,-156.5,7.8,,,2025-05-16,-1.3000000000000007,0.36928487393284176,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
533,2025-05-16 15:00:00,52.6092117,5.243115,3.87,,85.7,3.4,99.1,4.1,258.3,172.6,9.6,168.5,6.2,,,2025-05-16,1.3000000000000007,0.41332591967290755,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
534,2025-05-16 15:05:00,52.6083417,5.2550783,3.85,,81.6,4.9,97.5,5.4,276.2,-165.4,15.6,-159.0,11.0,,,2025-05-16,-1.7000000000000002,0.4396711539718797,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
535,2025-05-16 15:10:00,52.6073083,5.265215,4.04,,82.1,3.4,96.6,3.7,259.9,177.8,12.1,177.0,8.7,,,2025-05-16,2.5999999999999996,0.3750818688145129,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
536,2025-05-16 15:15:00,52.6062833,5.2758217,4.0,,77.7,4.9,95.4,6.3,278.2,-159.5,14.7,-150.0,10.3,,,2025-05-16,0.6000000000000005,0.39193590741844414,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
537,2025-05-16 15:20:00,52.6054667,5.2881217,4.03,,,,99.0,6.9,,,,-141.0,11.1,,,2025-05-16,-1.2000000000000002,0.45154240146057173,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
538,2025-05-16 15:25:00,52.6046783,5.3002383,3.99,,78.5,4.4,99.2,5.7,289.3,-149.2,13.6,-136.5,10.1,,,2025-05-16,0.0,0.44471409016125485,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
539,2025-05-16 15:30:00,52.6040017,5.3136017,4.05,,81.7,4.7,99.0,5.7,279.2,-162.5,13.9,-154.0,9.5,,,2025-05-16,-1.2999999999999998,0.4893840933727319,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
540,2025-05-16 15:35:00,52.6008917,5.32182,3.85,,112.2,4.2,129.4,4.4,281.3,169.1,14.9,165.0,10.8,,,2025-05-16,-0.8000000000000003,0.3533950931607202,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
541,2025-05-16 15:40:00,52.597565,5.3302617,4.03,,176.1,3.8,177.5,3.6,302.4,126.3,12.4,109.5,10.6,,,2025-05-16,-1.0,0.3672821683627983,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
542,2025-05-16 15:45:00,52.59254,5.329765,4.07,,190.1,3.1,186.7,2.6,296.7,106.6,10.1,89.0,9.7,,,2025-05-16,2.3000000000000003,0.3025045475002376,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
543,2025-05-16 15:50:00,52.5869317,5.32837,4.28,,196.2,3.4,189.9,4.9,275.4,79.2,9.3,60.5,10.5,,,2025-05-16,0.1999999999999993,0.34083835122668976,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
544,2025-05-16 15:55:00,52.58336,5.3330667,4.78,,89.8,4.0,104.4,5.1,286.2,-163.6,19.2,-159.5,15.4,,,2025-05-16,-1.7999999999999998,0.27471984892638973,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
545,2025-05-16 16:00:00,52.5816783,5.3420017,4.4,,108.9,4.7,118.3,3.3,302.2,-166.7,16.3,-161.5,11.8,,,2025-05-16,2.2,0.3415349429908534,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
546,2025-05-16 16:05:00,52.5798283,5.3512717,4.81,,84.2,4.5,98.3,5.5,287.1,-157.1,12.7,-145.5,8.7,,,2025-05-16,-0.7000000000000002,0.35627565005945466,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
547,2025-05-16 16:10:00,52.578245,5.3614683,4.75,,82.0,4.2,94.0,4.8,286.1,-155.9,16.1,-148.0,12.4,,,2025-05-16,-2.1999999999999997,0.384299785404612,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
548,2025-05-16 16:15:00,52.5809733,5.3687033,3.09,,27.3,2.1,33.3,2.6,279.1,-108.2,9.6,-95.5,9.2,,,2025-05-16,0.0,0.3109246079909746,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
549,2025-05-16 16:20:00,52.5832633,5.3690467,3.6,,264.2,2.6,282.8,2.6,263.7,-0.5,13.8,-0.5,16.4,,,2025-05-16,-2.5,0.13818002098250742,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
550,2025-05-16 16:25:00,52.5832133,5.3677217,3.33,,248.2,0.0,,0.1,271.2,,,23.0,9.8,,,2025-05-16,0.0,0.0484718789349647,2025-05-16 - Hoorn - Marker Wadden.md,2025-05-16,- Hoorn - Marker Wadden, Hoorn ,, Marker Wadden
551,2025-05-17 08:56:00,52.5831617,5.3676817,3.2,,254.1,0.0,,0.1,318.6,,,64.5,7.5,,,2025-05-17,0.19999999999999998,0.003427471834352258,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
552,2025-05-17 09:09:00,52.5831683,5.3677933,3.24,,346.8,0.0,,0.3,309.3,,,-37.5,12.8,,,2025-05-17,4.5,0.004094024265535663,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
553,2025-05-17 09:17:00,52.5830867,5.3695267,3.55,,119.7,4.4,132.5,4.8,311.3,-168.4,13.5,-163.0,9.3,,,2025-05-17,-0.5999999999999996,0.06348007806354442,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
554,2025-05-17 09:22:00,52.5786467,5.3648367,4.31,,300.5,4.0,295.7,4.2,312.9,12.4,10.3,9.0,14.2,,,2025-05-17,0.09999999999999964,0.31703800314118763,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
555,2025-05-17 09:27:00,52.58035,5.3535133,4.45,,287.5,4.0,278.9,4.3,298.1,10.6,9.5,7.5,13.5,,,2025-05-17,1.0,0.42595781165462154,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
556,2025-05-17 09:32:00,52.5819933,5.34233,4.24,,289.3,4.7,281.7,5.3,306.0,16.7,10.2,11.5,14.8,,,2025-05-17,0.6000000000000005,0.42011651767807434,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
557,2025-05-17 09:37:00,52.5834567,5.3309467,4.15,,279.3,5.4,272.5,5.9,317.7,38.4,8.0,23.0,12.7,,,2025-05-17,-0.3000000000000007,0.42483517555154504,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
558,2025-05-17 09:42:00,52.58567,5.3184683,4.01,,293.8,5.4,285.9,5.6,299.0,5.2,10.9,3.5,16.4,,,2025-05-17,-0.39999999999999947,0.47461636092764536,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
559,2025-05-17 09:47:00,52.58722,5.3063383,3.89,,289.2,4.7,273.1,5.2,307.4,18.2,10.1,12.5,14.7,,,2025-05-17,0.2999999999999998,0.4525494164600567,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
560,2025-05-17 09:52:00,52.5888016,5.2942216,3.89,,289.8,5.1,280.6,5.5,303.8,14.0,7.8,8.5,12.8,,,2025-05-17,0.09999999999999964,0.45245384511814407,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
561,2025-05-17 09:57:00,52.59026,5.2820617,3.71,,287.5,4.9,281.8,5.6,310.0,22.5,7.9,14.0,12.6,,,2025-05-17,-0.5,0.4524889087569765,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
562,2025-05-17 10:02:00,52.5914983,5.2703266,3.99,,289.6,4.9,279.9,5.1,296.8,7.2,7.9,4.5,12.8,,,2025-05-17,0.5,0.43481413977263295,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
563,2025-05-17 10:07:00,52.5927933,5.2585633,3.73,,290.1,4.9,283.2,5.6,302.9,12.8,8.0,8.0,12.9,,,2025-05-17,-0.5999999999999996,0.4364108825695476,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
564,2025-05-17 10:12:00,52.5941783,5.2462433,3.88,,288.1,4.7,279.0,5.0,288.8,0.7,10.3,0.5,15.0,,,2025-05-17,0.20000000000000018,0.4573614000414189,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
565,2025-05-17 10:17:00,52.5952583,5.2350983,3.93,,287.3,5.1,275.1,5.2,301.0,13.7,11.3,9.5,16.3,,,2025-05-17,0.5,0.41196595543847486,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
566,2025-05-17 10:22:00,52.5968016,5.2226716,3.98,,293.3,5.4,285.9,5.7,306.6,13.3,9.5,8.5,14.9,,,2025-05-17,-0.7000000000000002,0.46297722936904134,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
567,2025-05-17 10:27:00,52.59829,5.2105133,3.77,,288.4,4.9,277.1,5.0,299.2,10.8,8.9,7.0,13.8,,,2025-05-17,0.5999999999999996,0.45270467212581955,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
568,2025-05-17 10:32:00,52.599715,5.1988266,3.98,,288.4,5.3,279.2,5.6,303.9,15.5,10.8,10.5,16.0,,,2025-05-17,0.0,0.4350639557526309,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
569,2025-05-17 10:37:00,52.60112,5.1868933,3.75,,290.5,5.3,279.5,5.6,307.2,16.7,10.0,11.0,15.1,,,2025-05-17,-0.39999999999999947,0.44364801071624727,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
570,2025-05-17 10:42:00,52.6023383,5.1754266,3.77,,287.5,5.3,277.2,5.2,312.6,25.1,8.4,15.5,13.4,,,2025-05-17,0.39999999999999947,0.42485302526622565,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
571,2025-05-17 10:47:00,52.604085,5.1629383,3.84,,286.9,5.3,276.3,5.6,322.2,35.3,9.0,22.5,13.7,,,2025-05-17,-0.09999999999999964,0.46769765340808306,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
572,2025-05-17 10:52:00,52.6059683,5.150275,3.81,,290.0,5.4,283.8,5.5,336.0,46.0,9.4,29.5,13.8,,,2025-05-17,-0.20000000000000018,0.47579034798470526,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
573,2025-05-17 10:57:00,52.6095383,5.1393817,3.78,,303.7,4.7,295.3,5.3,333.0,29.3,9.9,20.0,14.2,,,2025-05-17,0.7999999999999998,0.4517088112483345,2025-05-17 - Marker Wadden - Hoorn.md,2025-05-17,- Marker Wadden - Hoorn, Marker Wadden ,, Hoorn
